city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Utsunomiya,Japan,Japan,Asia,3158.67,3453.12,502.55,89.34,2.61,0.501342143,0.418285418,0.665950481,0.554973262,48.51609578,Low Salary–Low Cost
Suez,Egypt,Egypt,Africa,254.53,298.51,69.19,43.41,0.58,0.049969027,0.013468013,0.009003479,0.098823529,51.48756382,High Cost–Low Salary
Ujjain,India,India,Asia,327.97,384.43,116.675,36.83,0.82,0.073095189,0.059311059,0.047370575,0.064812834,50.90050729,High Cost–Low Salary
Santa Marta,Colombia,Colombia,South America,995.6,1157.85,229.98,86.28,0.905,0.228267603,0.18984719,0.069674647,0.522352941,52.66194274,High Cost–Low Salary
Joinvile,Brazil,Brazil,South America,1490.04,1711.16,309.42,57.96,1.2,0.310241586,0.263662264,0.194188664,0.199679144,54.0383537,High Cost–Low Salary
Hai Duong,Vietnam,Vietnam,Asia,612.57,711.24,,101.99,0.82,0.129878175,,0.047370575,0.705561497,,
Maturin,Venezuela,Venezuela,South America,3282.02,3862.91,185,70,2.25,0.51094363,0.138176638,0.574687948,0.316898396,59.01451461,High Cost–Low Salary
Carrefour,Haiti,Haiti,Caribbean,444.95,506.2,,,3.965,0.103035309,,0.913341518,,,
Ulhasnagar,India,India,Asia,327.97,384.43,,24.56,0.86,0.073095189,,0.056067117,0.018074866,,
Lipetsk,Russia,Russia,Europe,975.51,1065.68,400,96,1.57,0.211232707,0.348355348,0.367607939,0.637860963,41.31128804,High Cost–Low Salary
Al `Amarah,Iraq,Iraq,Asia,1382.38,1573.31,375,44.91,1,0.28050795,0.328671329,0.098731328,0.103529412,53.31634065,High Cost–Low Salary
Choloma,Honduras,Honduras,Central America,1022.22,1139.39,195.625,66.01,1.425,0.234152385,0.153328153,0.301514221,0.274438503,50.47193847,High Cost–Low Salary
Kitwe,Zambia,Zambia,Africa,0.26133504,0.28552394,,,1.47,0.000825934,,0.319214242,,,
Matsuyama,Japan,Japan,Asia,3158.67,3453.12,640.29,44.67,2.325,0.501342143,0.512820513,0.597810518,0.102032086,49.78022356,High Cost–Low Salary
Palm Bay,United States,United States,Northern America,6966,7925,1250,90,4.41,0.880446005,0.774799275,0.959075097,0.567486631,52.63338326,High Salary–High Cost
Jhansi,India,India,Asia,327.97,384.43,52.2,35.72,0.575,0.073095189,0.003626004,0.008389605,0.060962567,53.09150442,High Cost–Low Salary
Pingtung,Taiwan,Taiwan,Asia,3571.43,4037.27,,,2.95,0.561841834,,0.746674852,,,
Lapu-Lapu City,Philippines,Philippines,Asia,728.78,790.54,394.6,66.64,1.615,0.156721041,0.342139342,0.392367506,0.278716578,40.04163548,High Cost–Low Salary
Jammu,India,India,Asia,327.97,384.43,122.815,22.45,0.88,0.073095189,0.067469567,0.061591979,0.013903743,50.66666197,High Cost–Low Salary
Ichikawa,Japan,Japan,Asia,3158.67,3453.12,1116.78,63.28,2.23,0.501342143,0.727790728,0.570186208,0.244919786,44.24401587,Low Salary–Low Cost
Imus,Philippines,Philippines,Asia,728.78,790.54,,103.17,1.79,0.156721041,,0.445774504,0.71315508,,
Niteroi,Brazil,Brazil,South America,1490.04,1711.16,329.3,66,1.42,0.310241586,0.285418285,0.299263352,0.27368984,51.02290592,High Cost–Low Salary
Worcester,United States,United States,Northern America,6966,7925,1575,106.67,3.445,0.880446005,0.853794354,0.845917741,0.750053476,52.00881918,High Salary–High Cost
Kirov,Russia,Russia,Europe,975.51,1065.68,320,144,1.385,0.211232707,0.277000777,0.285860446,0.936042781,43.2391931,Low Salary–Low Cost
Sukkur,Pakistan,Pakistan,Asia,245.34,284.9,,17.88,0.735,0.026429899,,0.027521997,0.005454545,,
Oujda-Angad,Morocco,Morocco,Africa,1634.24,1896.89,169.295,51.95,1.21,0.352570721,0.123025123,0.199508901,0.14802139,59.82262298,High Cost–Low Salary
Mykolaiv,Ukraine,Ukraine,Europe,530.73,622.8,218.46,63.17,0.82,0.115011357,0.179228179,0.047370575,0.239572193,49.12459089,High Cost–Low Salary
Chimbote,Peru,Peru,South America,1825.86,1997.36,,66.14,1.2,0.392525294,,0.194188664,0.276684492,,
Johor Bahru,Malaysia,Malaysia,Asia,1236.17,1406.38,291.74,60.34,1.485,0.268944869,0.246827247,0.326171475,0.217967914,49.66329319,High Cost–Low Salary
Celaya,Mexico,Mexico,Central America,1681.97,1917.34,206.275,63.6,1.55,0.367953748,0.166796167,0.358706773,0.247058824,55.81835363,High Cost–Low Salary
Duisburg,Germany,Germany,Europe,3731.5,4048.63,512.825,101.86,2.355,0.603964485,0.425019425,0.604358502,0.70171123,53.97701242,Low Salary–Low Cost
Matsudo,Japan,Japan,Asia,3158.67,3453.12,521.16,63.28,2.61,0.501342143,0.433566434,0.665950481,0.244919786,49.68433778,Low Salary–Low Cost
Kota Bharu,Malaysia,Malaysia,Asia,1236.17,1406.38,284.9,53.14,1.235,0.268944869,0.239186739,0.210660937,0.158502674,52.46184285,High Cost–Low Salary
Vinh,Vietnam,Vietnam,Asia,612.57,711.24,244.77,81.59,1.22,0.129878175,0.205775706,0.20308983,0.458716578,44.9941366,High Cost–Low Salary
Toulouse,France,France,Europe,3769.56,4377.38,871.345,114.41,2.585,0.630807351,0.63014763,0.661039493,0.814117647,48.4952987,Low Salary–Low Cost
Belgaum,India,India,Asia,327.97,384.43,282.48,20.06,0.87,0.073095189,0.236208236,0.05893186,0.008342246,46.52920511,High Cost–Low Salary
Larkana,Pakistan,Pakistan,Asia,245.34,284.9,,35.02,0.67,0.026429899,,0.016676898,0.057647059,,
Los Mochis,Mexico,Mexico,Central America,1681.97,1917.34,335.195,92.82,1.38,0.367953748,0.290857291,0.283916513,0.601176471,52.4420425,High Cost–Low Salary
`Ajman,United Arab Emirates,United Arab Emirates,Asia,3324.25,3896.46,688.665,78.27,1.72,0.513318191,0.537166537,0.426846736,0.413262032,51.63350125,Low Salary–Low Cost
Murrieta,United States,United States,Northern America,6966,7925,1850,107.25,3.85,0.880446005,0.903263403,0.901984858,0.757005348,49.61599125,High Salary–Moderate Cost
Edinburgh,United Kingdom,United Kingdom,Europe,6300,7235.37,1254.235,88.74,2.305,0.728370845,0.778295778,0.590239411,0.549304813,52.40983549,High Salary–High Cost
Tula,Russia,Russia,Europe,975.51,1065.68,325.335,128.05,1.815,0.211232707,0.280885781,0.453550235,0.89368984,40.00003692,Low Salary–Low Cost
Wichita,United States,United States,Northern America,6966,7925,1208.335,113.57,2.615,0.880446005,0.759129759,0.667996726,0.808342246,57.6424105,High Salary–High Cost
Toledo,United States,United States,Northern America,6966,7925,1233.33,82.5,3.21,0.880446005,0.767935768,0.808471455,0.468449198,56.31223094,High Salary–High Cost
Cheboksary,Russia,Russia,Europe,975.51,1065.68,373.335,98.87,1.35,0.211232707,0.327505828,0.268876611,0.666737968,43.66276759,High Cost–Low Salary
Serra,Brazil,Brazil,South America,1490.04,1711.16,241.89,50.77,1.095,0.310241586,0.202538203,0.136177614,0.141390374,57.01812007,High Cost–Low Salary
Greenville,United States,United States,Northern America,6966,7925,1675,120,3.75,0.880446005,0.874384874,0.889605075,0.843743316,50.1518603,High Salary–Moderate Cost
Jamnagar,India,India,Asia,327.97,384.43,88.02,35.56,0.985,0.073095189,0.027195027,0.095150399,0.060106952,50.77134103,High Cost–Low Salary
Gulbarga,India,India,Asia,327.97,384.43,,24.56,0.93,0.073095189,,0.075097197,0.018074866,,
Az Zarqa',Jordan,Jordan,Asia,1946.4,2284.91,245.545,61.09,1.605,0.412760686,0.206682207,0.385819521,0.222245989,56.64335874,High Cost–Low Salary
Florianopolis,Brazil,Brazil,South America,1490.04,1711.16,439.6,81.2,1.455,0.310241586,0.374773375,0.315428688,0.454759358,47.56037436,High Cost–Low Salary
Kaliningrad,Russia,Russia,Europe,975.51,1065.68,452.295,117.42,1.92,0.211232707,0.385910386,0.478616738,0.830802139,37.18753024,Low Salary–Low Cost
Sylhet,Bangladesh,Bangladesh,Asia,218.57,236.71,91.45,32.51,1.1,0.020132149,0.031857032,0.137712298,0.042566845,47.2431015,High Cost–Low Salary
Dhulia,India,India,Asia,327.97,384.43,,,0.43,0.073095189,,0.000716186,,,
Brookhaven,United States,United States,Northern America,6966,7925,,80,3.4,0.880446005,,0.839779006,0.436470588,,
Oita,Japan,Japan,Asia,3158.67,3453.12,552.185,111.68,3.025,0.501342143,0.456099456,0.770104359,0.791871658,44.3031753,Low Salary–Low Cost
Chiniot,Pakistan,Pakistan,Asia,245.34,284.9,,29.06,0.54,0.026429899,,0.004910988,0.032620321,,
Staten Island,United States,United States,Northern America,6966,7925,1766.665,83.75,3.78,0.880446005,0.888888889,0.894106814,0.481176471,51.51205937,High Salary–High Cost
Mazar-e Sharif,Afghanistan,Afghanistan,Asia,853.74,1001.15,62.15,,0.56,0.180569895,0.008288008,0.006854921,,,
San Juan,Argentina,Argentina,South America,110.28,129.42,175,72.64,1.305,0.009911212,0.127557628,0.247288725,0.346417112,40.62875985,High Cost–Low Salary
Shekhupura,Pakistan,Pakistan,Asia,245.34,284.9,,36.435,0.7,0.026429899,,0.021894823,0.063957219,,
Leicester,United Kingdom,United Kingdom,Europe,6300,7235.37,1014.75,70.73,2.125,0.728370845,0.691789692,0.539287907,0.325882353,56.70863003,High Salary–High Cost
Des Moines,United States,United States,Northern America,6966,7925,1063.165,63.75,2.45,0.880446005,0.707070707,0.631675875,0.24802139,62.4719081,High Salary–High Cost
Mandaluyong City,Philippines,Philippines,Asia,728.78,790.54,723.665,78.95,1.665,0.156721041,0.556073556,0.4106814,0.417326203,33.63395412,High Cost–Low Salary
Piura,Peru,Peru,South America,1825.86,1997.36,398.12,49.51,1.31,0.392525294,0.345506346,0.249232658,0.129411765,55.35689409,High Cost–Low Salary
Angeles City,Philippines,Philippines,Asia,728.78,790.54,305.76,75.6,1.6,0.156721041,0.260813261,0.382545529,0.381604278,41.75678854,High Cost–Low Salary
Pasay City,Philippines,Philippines,Asia,728.78,790.54,743.13,86.72,1.63,0.156721041,0.566951567,0.399324739,0.531229947,33.01961835,High Cost–Low Salary
Buraydah,Saudi Arabia,Saudi Arabia,Asia,3840,4480,342.52,79.81,1.51,0.644332026,0.298886299,0.340597504,0.428235294,65.79131727,High Cost–Low Salary
Gdansk,Poland,Poland,Europe,1496.57,1736.84,688.28,79.53,1.48,0.333987198,0.536907537,0.323613669,0.425240642,44.67819489,High Cost–Low Salary
Lanus,Argentina,Argentina,South America,110.28,129.42,,80,1.03,0.009911212,,0.109883364,0.436470588,,
Ba`qubah,Iraq,Iraq,Asia,1382.38,1573.31,,67.15,1.4,0.28050795,,0.291589932,0.284491979,,
Iloilo,Philippines,Philippines,Asia,728.78,790.54,224.275,60.55,1.535,0.156721041,0.184408184,0.351851852,0.219144385,45.09308846,High Cost–Low Salary
Murcia,Spain,Spain,Europe,2579.28,2875.26,1029.595,82.98,1.75,0.47005988,0.695156695,0.434929405,0.471016043,45.07040833,Low Salary–Low Cost
Manado,Indonesia,Indonesia,Asia,678.91,788.83,224.59,41.015,1.35,0.140925046,0.184926185,0.268876611,0.08684492,46.61134087,High Cost–Low Salary
Marikina City,Philippines,Philippines,Asia,728.78,790.54,152.505,53.83,1.865,0.156721041,0.103600104,0.465827706,0.165454545,45.10222259,High Cost–Low Salary
Kanazawa,Japan,Japan,Asia,3158.67,3453.12,539.775,78.92,2.23,0.501342143,0.448847449,0.570186208,0.417005348,50.35717004,Low Salary–Low Cost
Long Beach,United States,United States,Northern America,6966,7925,2612.5,86.33,4.23,0.880446005,0.96969697,0.94423982,0.522887701,48.28064108,High Salary–Moderate Cost
Calabar,Nigeria,Nigeria,Africa,389.85,438.91,,56.28,1.13,0.095395416,,0.153468386,0.185989305,,
Jalgaon,India,India,Asia,327.97,384.43,110.535,33.77,0.77,0.073095189,0.052447552,0.035911602,0.04802139,51.38523164,High Cost–Low Salary
Port St. Lucie,United States,United States,Northern America,6966,7925,2050,109,4.645,0.880446005,0.93045843,0.969306323,0.773475936,47.50733333,High Salary–Moderate Cost
Fukuyama,Japan,Japan,Asia,3158.67,3453.12,,69.67,3.03,0.501342143,,0.771945979,0.310588235,,
Cranbourne,Australia,Australia,Oceania,4306.45,4903.23,,112.13,2.565,0.666632253,,0.657458564,0.795935829,,
Melaka,Malaysia,Malaysia,Asia,1236.17,1406.38,296.295,59.83,1.44,0.268944869,0.250971251,0.309187641,0.210695187,49.93573342,High Cost–Low Salary
Pyeongtaek,South Korea,South Korea,Asia,2593.42,2889.81,441.73,72.98,2.69,0.483378071,0.376586377,0.693063229,0.348663102,49.14966407,Low Salary–Low Cost
Amagasaki,Japan,Japan,Asia,3158.67,3453.12,,297.81,2.38,0.501342143,,0.612952732,0.996149733,,
Tel Aviv-Yafo,Israel,Israel,,,,2012.475,147.15,3.01,,0.923853924,0.766932679,0.94459893,,
Kurnool,India,India,Asia,327.97,384.43,79.835,,0.61,0.073095189,0.020979021,0.010538162,,,
Denton,United States,United States,Northern America,6966,7925,1217.5,123,3.5,0.880446005,0.762237762,0.856046654,0.865026738,53.52028939,High Salary–High Cost
Udaipur,India,India,Asia,327.97,384.43,153.525,32.75,0.905,0.073095189,0.106060606,0.069674647,0.04459893,49.3867567,High Cost–Low Salary
General Trias,Philippines,Philippines,Asia,728.78,790.54,95.09,71.77,1.61,0.156721041,0.036260036,0.39032126,0.332192513,47.46216335,High Cost–Low Salary
Tanta,Egypt,Egypt,Africa,254.53,298.51,149.225,28.49,0.53,0.049969027,0.0998446,0.004297115,0.02855615,49.77361333,High Cost–Low Salary
Kota Kinabalu,Malaysia,Malaysia,Asia,1236.17,1406.38,388.89,62.08,1.51,0.268944869,0.335923336,0.340597504,0.230160428,47.08640784,High Cost–Low Salary
Madison,United States,United States,Northern America,6966,7925,1638.96,106.5,3.115,0.880446005,0.867391867,0.786269695,0.747914439,52.87253745,High Salary–High Cost
Kursk,Russia,Russia,Europe,975.51,1065.68,204,96,1.63,0.211232707,0.164335664,0.399324739,0.637860963,45.27744415,High Cost–Low Salary
Balashikha,Russia,Russia,Europe,975.51,1065.68,520,145.92,1.81,0.211232707,0.431623932,0.451913239,0.94171123,36.02421613,Low Salary–Low Cost
Rajshahi,Bangladesh,Bangladesh,Asia,218.57,236.71,67.67,37.06,1.08,0.020132149,0.012432012,0.131778187,0.067058824,47.72494931,High Cost–Low Salary
Mariupol,Ukraine,Ukraine,Europe,530.73,622.8,129.18,83.21,0.86,0.115011357,0.076664077,0.056067117,0.473048128,50.34738293,High Cost–Low Salary
San Nicolas de los Garza,Mexico,Mexico,Central America,1681.97,1917.34,683.285,64.46,1.225,0.367953748,0.532763533,0.205443012,0.255935829,49.69005968,High Cost–Low Salary
Reno,United States,United States,Northern America,6966,7925,1902.71,91.43,3.73,0.880446005,0.911939912,0.886535707,0.586951872,50.55832893,High Salary–Moderate Cost
Hsinchu,Taiwan,Taiwan,Asia,3571.43,4037.27,516.975,67.8,2.335,0.561841834,0.427868428,0.6001637,0.290053476,53.94183961,Low Salary–Low Cost
Barcelona,Venezuela,Venezuela,South America,3282.02,3862.91,300,34.78,2,0.51094363,0.256798757,0.496726008,0.055080214,58.91729135,High Cost–Low Salary
Ado-Ekiti,Nigeria,Nigeria,Africa,389.85,438.91,410.88,68.08,1.8,0.095395416,0.354053354,0.449253121,0.292941176,35.46866866,High Cost–Low Salary
Constantine,Algeria,Algeria,Africa,1148.84,1308.81,164.55,82.78,1.19,0.252632666,0.119399119,0.188049928,0.470802139,53.53164604,High Cost–Low Salary
Harrisburg,United States,United States,Northern America,6966,7925,1237.5,110.28,3.71,0.880446005,0.769360269,0.883977901,0.783101604,53.19322746,High Salary–High Cost
Santiago de Cuba,Cuba,Cuba,Caribbean,783.33,916.67,600,55,2,0.172413793,0.489251489,0.496726008,0.174973262,35.58001596,High Cost–Low Salary
Fujisawa,Japan,Japan,Asia,3158.67,3453.12,372.26,,1.64,0.501342143,0.326469826,0.401882546,,,
Sao Jose do Rio Preto,Brazil,Brazil,South America,1490.04,1711.16,239.49,86.22,1.12,0.310241586,0.2002072,0.146101903,0.521925134,54.97523556,High Cost–Low Salary
Andijon,Uzbekistan,Uzbekistan,Asia,97.25,106.98,317.5,18.72,0.83,0.006091266,0.273504274,0.050030694,0.007272727,42.42997894,High Cost–Low Salary
Zurich,Switzerland,Switzerland,Europe,9836.07,11292.9,2499,181.22,4.485,0.995663845,0.96037296,0.964293022,0.977754011,51.59923773,High Salary–Moderate Cost
Little Rock,United States,United States,Northern America,6966,7925,1136,87,3.075,0.880446005,0.733747734,0.779824023,0.534438503,57.40993391,High Salary–High Cost
Manizales,Colombia,Colombia,South America,995.6,1157.85,239.52,44.09,0.76,0.228267603,0.200725201,0.033046859,0.101069519,55.22896534,High Cost–Low Salary
Santos,Brazil,Brazil,South America,1490.04,1711.16,432.04,65.86,1.43,0.310241586,0.36959337,0.303151218,0.271871658,48.84986241,High Cost–Low Salary
Yogyakarta,Indonesia,Indonesia,Asia,678.91,788.83,303.355,82.1,1.32,0.140925046,0.259388759,0.254143646,0.465026738,43.15352672,High Cost–Low Salary
Kashiwa,Japan,Japan,Asia,3158.67,3453.12,601.82,74.45,2.61,0.501342143,0.49002849,0.665950481,0.36855615,47.65460455,Low Salary–Low Cost
Sangli,India,India,Asia,327.97,384.43,,38.38,0.88,0.073095189,,0.061591979,0.075508021,,
Beira,Mozambique,Mozambique,Africa,549.81,631.27,,,1.57,0.120689655,,0.367607939,,,
Caxias do Sul,Brazil,Brazil,South America,1490.04,1711.16,284.2,43.11,1.045,0.310241586,0.237762238,0.116840598,0.097005348,56.74618466,High Cost–Low Salary
Jeju,South Korea,South Korea,Asia,2593.42,2889.81,1189.505,89.77,3.34,0.483378071,0.751877752,0.83046859,0.562566845,35.94975375,Low Salary–Low Cost
Oakland,United States,United States,Northern America,6966,7925,3100,107.5,4.205,0.880446005,0.987826988,0.940351954,0.761069519,46.71423885,High Salary–Moderate Cost
Stavropol,Russia,Russia,Europe,975.51,1065.68,260.99,102.93,1.565,0.211232707,0.21989122,0.365050133,0.711122995,44.20773722,High Cost–Low Salary
Cusco,Peru,Peru,South America,1825.86,1997.36,417.045,69.18,1.61,0.392525294,0.358715359,0.387661142,0.305668449,51.37681566,High Cost–Low Salary
Zanjan,Iran,Iran,Asia,932.63,1070.97,261.25,98.33,0.88,0.192649184,0.22040922,0.061591979,0.659786096,49.59145865,High Cost–Low Salary
Veracruz,Mexico,Mexico,Central America,1681.97,1917.34,352.385,77.43,1.235,0.367953748,0.309246309,0.210660937,0.40342246,54.43619861,High Cost–Low Salary
Ulan-Ude,Russia,Russia,Europe,975.51,1065.68,416,128,2.16,0.211232707,0.357938358,0.549212196,0.892620321,36.16583088,Low Salary–Low Cost
Welkom,South Africa,South Africa,Africa,1441.44,1658.72,216.7,83.35,1.44,0.286908941,0.177933178,0.309187641,0.475187166,51.33742895,High Cost–Low Salary
Kenitra,Morocco,Morocco,Africa,1634.24,1896.89,319.935,63.75,1.18,0.352570721,0.276094276,0.181911193,0.24802139,55.84784832,High Cost–Low Salary
Aomori,Japan,Japan,Asia,3158.67,3453.12,483.94,,4.06,0.501342143,0.405205905,0.929813792,,,
Durham,United States,United States,Northern America,6966,7925,1691.665,123,3.315,0.880446005,0.876845377,0.826273788,0.865026738,51.25055636,High Salary–High Cost
Agadir,Morocco,Morocco,Africa,1634.24,1896.89,186.195,48.99,1.16,0.352570721,0.13998964,0.170554532,0.126524064,60.08508406,High Cost–Low Salary
Porto Velho,Brazil,Brazil,South America,1490.04,1711.16,,47.9,1.92,0.310241586,,0.478616738,0.119465241,,
Uyo,Nigeria,Nigeria,Africa,389.85,438.91,675.42,11.26,0.45,0.095395416,0.529008029,0.001534684,0.000534759,41.5112026,High Cost–Low Salary
Laval,Canada,Canada,Northern America,6311.03,7352.94,926.435,79.52,2.375,0.757278546,0.652810153,0.611827297,0.425026738,57.18199387,High Salary–High Cost
Akola,India,India,Asia,327.97,384.43,95.185,28.86,0.9,0.073095189,0.036519037,0.067219153,0.031229947,51.24125074,High Cost–Low Salary
Uijeongbu,South Korea,South Korea,Asia,2593.42,2889.81,230.47,110.36,2.92,0.483378071,0.191142191,0.740740741,0.784385027,50.65360885,Low Salary–Low Cost
Mogi das Cruzes,Brazil,Brazil,South America,1490.04,1711.16,287.39,68.7,1.485,0.310241586,0.240611241,0.326171475,0.302032086,51.46320834,High Cost–Low Salary
Yazd,Iran,Iran,Asia,932.63,1070.97,563.29,50,0.69,0.192649184,0.465164465,0.019848578,0.135508021,46.92883593,High Cost–Low Salary
Toyota,Japan,Japan,Asia,3158.67,3453.12,,81.9,2.62,0.501342143,,0.669940659,0.463101604,,
Winston-Salem,United States,United States,Northern America,6966,7925,1287.5,81.25,4,0.880446005,0.788655789,0.919991815,0.455721925,53.62745958,High Salary–High Cost
Tver,Russia,Russia,Europe,975.51,1065.68,356,87.28,1.435,0.211232707,0.312354312,0.305606712,0.536898396,43.95615133,High Cost–Low Salary
Elazig,Turkey,Turkey,Asia,254.1,286.13,85.865,56.27,0.815,0.0415032,0.025382025,0.045222018,0.185561497,49.60836155,High Cost–Low Salary
Seremban,Malaysia,Malaysia,Asia,1236.17,1406.38,284.9,54.7,1.38,0.268944869,0.239186739,0.283916513,0.172299465,50.92774737,High Cost–Low Salary
Takamatsu,Japan,Japan,Asia,3158.67,3453.12,297.81,148.9,2.42,0.501342143,0.253431753,0.62328627,0.946631016,51.53243286,Low Salary–Low Cost
Magnitogorsk,Russia,Russia,Europe,975.51,1065.68,320,85.33,1.37,0.211232707,0.277000777,0.2788009,0.510160428,45.50979578,High Cost–Low Salary
Chattanooga,United States,United States,Northern America,6966,7925,1595.54,110,3.845,0.880446005,0.859103859,0.900450174,0.779037433,50.64051311,High Salary–High Cost
Indio,United States,United States,Northern America,6966,7925,1900,69.67,3.26,0.880446005,0.910515411,0.815121752,0.310588235,53.40403876,High Salary–High Cost
Binan,Philippines,Philippines,Asia,728.78,790.54,224.275,101.67,1.455,0.156721041,0.184408184,0.315428688,0.699893048,43.41780842,High Cost–Low Salary
Arusha,Tanzania,Tanzania,Africa,457.77,505.54,274.005,64.29,1.23,0.106442288,0.22999223,0.208103131,0.253475936,44.14286635,High Cost–Low Salary
Palm Coast,United States,United States,Northern America,6966,7925,1800,84.67,3.36,0.880446005,0.894198394,0.833537958,0.499786096,52.49765073,High Salary–High Cost
Jhang City,Pakistan,Pakistan,Asia,245.34,284.9,100.585,38,0.72,0.026429899,0.03975654,0.025475752,0.07197861,49.45817336,High Cost–Low Salary
Mataram,Indonesia,Indonesia,Asia,678.91,788.83,129.64,53.79,1.265,0.140925046,0.077182077,0.227235523,0.164278075,49.75059956,High Cost–Low Salary
Kisumu,Kenya,Kenya,Africa,863.29,991.43,101.915,24.46,1.8,0.182841214,0.041440041,0.449253121,0.01657754,49.03810956,High Cost–Low Salary
Rio Branco,Brazil,Brazil,South America,1490.04,1711.16,311.335,85.42,1.53,0.310241586,0.265734266,0.348987109,0.512513369,49.32641363,High Cost–Low Salary
Toyama,Japan,Japan,Asia,3158.67,3453.12,493.245,85.62,2.37,0.501342143,0.411810412,0.609064866,0.514331551,50.0188918,Low Salary–Low Cost
Jayapura,Indonesia,Indonesia,Asia,678.91,788.83,162.05,48.615,2.11,0.140925046,0.116809117,0.529772867,0.123850267,42.91131573,High Cost–Low Salary
Spokane,United States,United States,Northern America,6966,7925,1772.715,94.57,3.535,0.880446005,0.889147889,0.862799263,0.616256684,51.45633431,High Salary–High Cost
Sanandaj,Iran,Iran,Asia,932.63,1070.97,,100,1.53,0.192649184,,0.348987109,0.681604278,,
Toyonaka,Japan,Japan,Asia,3158.67,3453.12,372.26,81.9,2.23,0.501342143,0.326469826,0.570186208,0.463101604,53.18612932,Low Salary–Low Cost
Bhagalpur,India,India,Asia,327.97,384.43,88.53,24.56,0.89,0.073095189,0.027713028,0.064559034,0.018074866,51.58037874,High Cost–Low Salary
Sochi,Russia,Russia,Europe,975.51,1065.68,926,117.33,1.6,0.211232707,0.652421652,0.382545529,0.83026738,32.44884656,Low Salary–Low Cost
Syracuse,United States,United States,Northern America,6966,7925,1267.5,89.8,3.175,0.880446005,0.782698783,0.802537344,0.562780749,55.59018004,High Salary–High Cost
Szczecin,Poland,Poland,Europe,1496.57,1736.84,593.2,74.78,1.245,0.333987198,0.486143486,0.215060364,0.371764706,48.38574193,High Cost–Low Salary
Turkmenabat,Turkmenistan,Turkmenistan,Asia,1342.86,1500,528.57,457.14,5,0.277307454,0.444185444,0.978105177,0.998930481,28.20398065,Low Salary–Low Cost
Bryansk,Russia,Russia,Europe,975.51,1065.68,280,80,1.41,0.211232707,0.234783735,0.295477798,0.436470588,46.60013307,High Cost–Low Salary
Ivanovo,Russia,Russia,Europe,975.51,1065.68,360,112,1.625,0.211232707,0.315980316,0.396869245,0.794438503,40.75255004,Low Salary–Low Cost
Asyut,Egypt,Egypt,Africa,254.53,298.51,149.225,29.1,0.655,0.049969027,0.0998446,0.014732965,0.032941176,49.54297119,High Cost–Low Salary
Maracay,Venezuela,Venezuela,South America,3282.02,3862.91,200,66.08,1.365,0.51094363,0.158896659,0.275219971,0.275294118,64.69389501,High Cost–Low Salary
Campina Grande,Brazil,Brazil,South America,1490.04,1711.16,134.115,53.65,1.18,0.310241586,0.080808081,0.181911193,0.161925134,59.04402774,High Cost–Low Salary
Maringa,Brazil,Brazil,South America,1490.04,1711.16,281.005,49.81,1.3,0.310241586,0.235431235,0.244219357,0.132085561,54.08148345,High Cost–Low Salary
Qazvin,Iran,Iran,Asia,932.63,1070.97,358.955,95,1.065,0.192649184,0.314944315,0.123183957,0.628877005,46.15078717,High Cost–Low Salary
Nagasaki,Japan,Japan,Asia,3158.67,3453.12,521.165,89.34,3.16,0.501342143,0.434472934,0.797421731,0.554973262,45.48198287,Low Salary–Low Cost
Hirakata,Japan,Japan,Asia,3158.67,3453.12,,128.77,2.23,0.501342143,,0.570186208,0.897860963,,
Jundiai,Brazil,Brazil,South America,1490.04,1711.16,558.815,80.95,1.56,0.310241586,0.460761461,0.3631062,0.452941176,44.46621289,High Cost–Low Salary
Carapicuiba,Brazil,Brazil,South America,1490.04,1711.16,249.07,62.27,1.245,0.310241586,0.208624709,0.215060364,0.23197861,54.83536124,High Cost–Low Salary
Santa Fe,Argentina,Argentina,South America,110.28,129.42,277.5,34.3,1.15,0.009911212,0.232323232,0.165336607,0.05197861,41.1208546,High Cost–Low Salary
Arlington,United States,United States,Northern America,6966,7925,2650,111,4.23,0.880446005,0.970862471,0.94423982,0.788235294,46.92476559,High Salary–Moderate Cost
Gifu,Japan,Japan,Asia,3158.67,3453.12,381.565,85.62,2.03,0.501342143,0.332038332,0.504194803,0.514331551,54.11059506,Low Salary–Low Cost
Stockton,United States,United States,Northern America,6966,7925,1590.835,99.67,3.295,0.880446005,0.858067858,0.820135052,0.673048128,52.80266209,High Salary–High Cost
Dera Ghazi Khan,Pakistan,Pakistan,Asia,245.34,284.9,72.085,26.82,0.635,0.026429899,0.015281015,0.013300593,0.022139037,50.5627625,High Cost–Low Salary
Lancaster,United States,United States,Northern America,6966,7925,1431.25,98.33,3.89,0.880446005,0.822066822,0.907714344,0.659786096,52.01741231,High Salary–High Cost
Mwanza,Tanzania,Tanzania,Africa,457.77,505.54,139.305,36.43,1.07,0.106442288,0.088060088,0.12645795,0.063743316,50.27273662,High Cost–Low Salary
Poughkeepsie,United States,United States,Northern America,6966,7925,1550,62.5,3.575,0.880446005,0.848743849,0.867096378,0.234117647,54.29118821,High Salary–High Cost
Miyazaki,Japan,Japan,Asia,3158.67,3453.12,,74.45,2.23,0.501342143,,0.570186208,0.36855615,,
